numeroRicetta,numero,ingrediente,quantità
1,1,Fontina DOP,400g
1,2,Latte intero,250ml
1,3,Tuorli d'uovo,4
1,4,Burro,30g
2,1,Costolette di vitello,4
2,2,Fontina DOP,150g
2,3,Prosciutto cotto,4 fette
2,4,Uova,2
2,5,Pangrattato,q.b.
2,6,Burro,80g
3,1,Brodo di carne,1.5L
3,2,Pane raffermo,400g
3,3,Cavolo verza,250g
3,4,Fontina DOP,150g
3,5,Cipolla,1
3,6,Burro,50g
4,1,Farina di mais,250g
4,2,Farina 00,250g
4,3,Uova,2
4,4,Zucchero,150g
4,5,Burro,100g
4,6,Mandorle,50g
4,7,Lievito per dolci,1/2 bustina
5,1,Riso Carnaroli,500g
5,2,Zafferano,2 bustine
5,3,Brodo di carne,q.b.
5,4,Burro,40g
6,1,Fesa di vitello,4 fette
6,2,Pangrattato,100g
6,3,Uova,2
7,1,Trofie fresche,500g
7,2,Basilico ,200g
7,3,Pinoli,40g
7,4,Parmigiano Reggiano,40g
7,5,Fagiolini bolliti,200g
7,6,Patate bollite,200g
7,7,Olio evo,40g
8,1,Carote,3
8,2,Broccolo,1
8,3,Fagiolini,150g
8,4,Patate,2
8,5,Pesce da bollire,1kg
8,6,Salsa verde,q.b.
9,1,Acqua,420g
9,2,Farina,400g
9,3,Sale,16g
9,4,Olio,40g
9,5,Crescenza,400g
10,1,Mocetta,200g
10,2,Miele di castagno,2 cucchiai
10,3,Olio extra vergine d'oliva,q.b.
10,4,Pane nero,4 fette
11,1,Basilico genovese,50g
11,2,Olio extra vergine d'oliva,100ml
11,3,Parmigiano Reggiano,70g
11,4,Pecorino sardo,30g
11,5,Pinoli,15g
11,6,Aglio,2 spicchi
11,7,Sale grosso,q.b.
12,1,Farina di ceci,250g
12,2,Acqua,750ml
12,3,Olio extra vergine d'oliva,50ml
12,4,Sale e pepe,q.b.
13,1,Formaggio Montasio,300g
13,2,Patate,500g
13,3,Cipolle,1
13,4,"Olio, sale, pepe",q.b.
14,1,Prosciutto crudo di San Daniele,200g
14,2,Fichi,4
14,3,Grissini,q.b.
15,1,Farina 00,500g
15,2,Zucchero,150g
15,3,Burro,150g
15,4,Uvetta,100g
15,5,Pinoli,50g
15,6,Noci,50g
15,7,Grappa,1 bicchierino
15,8,Lievito di birra,20g
16,1,Crauti,500g
16,2,Fagioli borlotti,300g
16,3,Patate,2
16,4,Pancetta affumicata,100g
16,5,Farina,1 cucchiaio
16,6,Alloro,1 foglia
17,1,Manzo (polpa),800g
17,2,Cipolle,500g
17,3,Paprika dolce,2 cucchiai
17,4,Brodo di carne,q.b.
17,5,Olio o strutto,q.b.
18,1,Pane raffermo,250g
18,2,Speck,100g
18,3,Latte,250ml
18,4,Uova,2
18,5,Farina,30g
18,6,Erba cipollina,q.b.
18,7,Brodo di carne,1.5L
19,1,Pasta sfoglia,1 rotolo
19,2,Mele Golden,1kg
19,3,Uvetta,80g
19,4,Pinoli,50g
19,5,Pangrattato,50g
19,6,Cannella,q.b.
19,7,Zucchero,80g
20,1,Speck,200g
20,2,Pane nero,4 fette
20,3,Cetriolini sott'aceto,q.b.
21,1,Stoccafisso (baccalà secco),500g
21,2,Cipolle bianche,2
21,3,Acciughe sotto sale,4 filetti
21,4,Grana Padano,50g
21,5,Latte,250ml
21,6,Olio extra vergine d'oliva,150ml
22,1,Mascarpone,500g
22,2,Uova freschissime,4
22,3,Zucchero,100g
22,4,Savoiardi,300g
22,5,Caffè,300ml
22,6,Cacao amaro in polvere,q.b.
23,1,Riso Vialone Nano,320g
23,2,Piselli freschi,500g
23,3,Pancetta,50g
23,4,Brodo vegetale,1L
23,5,Grana Padano,40g
23,6,Prezzemolo,q.b.
24,1,Bigoli,320g
24,2,Cipolle bianche,2
24,3,Acciughe sotto sale,8 filetti
24,4,Olio extra vergine d'oliva,q.b.
25,1,Sarde fresche,500g
25,2,Cipolle bianche,2
25,3,Aceto di vino bianco,1/2 bicchiere
25,4,Uvetta,30g
25,5,Pinoli,30g
25,6,Farina,q.b.
26,1,Fegato di vitello,500g
26,2,Cipolle bianche di Chioggia,2
26,3,Burro,50g
26,4,Olio extra vergine d'oliva,3 cucchiai
26,5,Aceto di vino bianco,1 spruzzo
27,1,Radicchio Rosso di Treviso Tardivo,2 cespi
27,2,Olio extra vergine d'oliva,q.b.
27,3,Sale e pepe,q.b.
28,1,Polenta,500g
28,2,Uccellini (o quaglie),8
28,3,Pancetta,100g
28,4,Salvia,q.b.
28,5,Burro,q.b.
29,1,Riso Arborio,320g
29,2,Fagioli borlotti,200g (secchi)
29,3,Salame d'la duja,100g
29,4,Verza,1-Apr
29,5,Lardo,50g
29,6,Vino rosso (Barbera),1/2 bicchiere
30,1,"Manzo (scaramella, punta di petto)",1kg
30,2,Cotechino,1
30,3,Lingua di vitello,1
30,4,Gallina,1-Feb
30,5,"Carote, sedano, cipolla",per il brodo
30,6,Sale grosso,q.b.
31,1,Aglio,6 teste
31,2,Acciughe sotto sale,600g
31,3,Olio extra vergine d'oliva,300ml
31,4,Latte (facoltativo),1 bicchiere
32,1,Farina 00,300g
32,2,Uova,3
32,3,Arrosto di vitello,200g (per il ripieno)
32,4,Prosciutto crudo,50g (per il ripieno)
32,5,Grana Padano,50g (per il ripieno)
32,6,Noce moscata,q.b.
33,1,Robiola di Roccaverano,200g
33,2,Olio extra vergine d'oliva,q.b.
33,3,Pepe nero,q.b.
33,4,Focaccia o pane casereccio,q.b.
34,1,Nocciole tostate,100g
34,2,Farina 00,100g
34,3,Zucchero a velo,100g
34,4,Burro,100g
34,5,Cioccolato fondente,100g (per la farcia)
35,1,Girello di vitello,800g
35,2,Tonno sott'olio,200g
35,3,Uova sode,2
35,4,Capperi sotto sale,1 cucchiaio
35,5,Acciughe sotto sale,4 filetti
35,6,Maionese,200g
36,1,Tajarin (tagliolini all'uovo),320g
36,2,Tartufo bianco d'Alba,q.b.
36,3,Burro,60g
36,4,Grana Padano,q.b.
37,1,Cioccolato gianduia,200g
37,2,Nocciole,50g
38,1,Farina 00,500g
38,2,Acqua,250ml
38,3,Lievito di birra,15g
38,4,Olio extra vergine d'oliva,50ml
38,5,Malto (o zucchero),1 cucchiaino
38,6,Sale,10g
39,1,Manzo (cappello del prete),1kg
39,2,Barolo,750ml
39,3,Carote,2
39,4,Cipolle,2
39,5,Sedano,2 coste
39,6,"Olio, burro, sale, pepe",q.b.
40,1,Zucchero,150g
40,2,Uova,4
40,3,Latte,500ml
